sample,depth.midpoint,CalBP.midpoint,phy.grass,phy.herb,phy.woody,phy.riperian,phy.unID,phy.weathered,phy.total,phy.per.gm,ch.geometric,ch.elongated,ch.irregular,ch.indeterminate,charcoal.total,charcoal.area.um2,ch.geometric.area.pct,ch.elongated.area.pct,ch.irregular.area.pct,ch.indeterminate.area.pct
SP.NV.7.23,95,2617,3,1,3,5,1,3,16,11090.8773201668,8,0,2,3,13,2027314.7,0.6153846154,0,0.1538461538,0.2307692308
SP.NV.7.22,105,2955,1,2,0,1,4,0,8,12055,9,0,3,8,20,759012.3,0.45,0,0.15,0.4
SP.NV.7.21,115,3299,0,0,0,0,0,0,0,0,10,0,5,1,16,10563147.3,0.625,0,0.3125,0.0625
SP.NV.7.20,125,3648,5,2,0,3,1,0,11,22634,5,0,11,14,31,2505154.3,0.1612903226,0,0.3548387097,0.4516129032
SP.NV.7.19,135,3990,0,0,0,0,0,0,0,0,16,1,16,8,41,10569876.5,0.3902439024,0.0243902439,0.3902439024,0.1951219512
SP.NV.7.18,145,4341,3,2,11,3,10,6,35,16975.8326329083,16,0,33,20,69,2403425.9,0.231884058,0,0.4782608696,0.2898550725
SP.NV.7.17,152.5,4599,5,1,3,1,2,3,15,18082.9521524458,5,1,44,13,63,2706141.8,0.07936507937,0.01587301587,0.6984126984,0.2063492063
SP.NV.7.16,157.5,4776,8,13,27,6,7,3,64,10664.305115545,33,1,28,11,73,3024913.4,0.4520547945,0.01369863014,0.3835616438,0.1506849315
SP.NV.7.15,162.5,4958,6,8,15,1,13,10,53,5899.40282987594,53,0,33,7,93,10006141.2,0.5698924731,0,0.3548387097,0.0752688172
SP.NV.7.14,167.5,5167,7,6,20,6,13,9,61,21746.8182748368,35,0,48,19,102,6165432.3,0.3431372549,0,0.4705882353,0.1862745098
SP.NV.7.13,172.5,5400,0,0,0,0,0,0,0,0,10,0,22,12,44,11714567.5,0.2272727273,0,0.5,0.2727272727
SP.NV.7.12,177.5,5632,3,2,5,11,14,15,50,10873.4091374184,24,0,42,11,77,3452975.8,0.3116883117,0,0.5454545455,0.1428571429
SP.NV.7.11,182.5,5871,0,1,0,0,0,1,2,5.776,4,1,26,8,39,2355394.5,0.1025641026,0.02564102564,0.6666666667,0.2051282051
SP.NV.7.10,187.5,6112,1,1,3,1,0,2,8,5658.61087763611,17,0,24,4,45,1479065.7,0.3777777778,0,0.5333333333,0.08888888889
SP.NV.7.09,192.5,6343,0,0,0,0,0,0,0,0,8,1,15,10,34,2694913.4,0.2352941176,0.02941176471,0.4411764706,0.2941176471
SP.NV.7.08,197.5,6572,5,2,7,2,2,5,23,5776.49860425353,17,0,30,17,64,2435086.4,0.265625,0,0.46875,0.265625
SP.NV.7.07,202.5,6803,6,12,13,10,9,20,70,16636.3159802502,13,0,28,20,61,5485622.6,0.2131147541,0,0.4590163934,0.3278688525
SP.NV.7.06,207.5,7036,0,0,0,0,0,0,0,0,10,0,23,14,47,2001790,0.2127659574,0,0.4893617021,0.2978723404
SP.NV.7.05,212.5,7273,12,8,17,15,15,11,78,32620.2274122552,20,0,47,16,83,3854359.7,0.2409638554,0,0.5662650602,0.1927710843
SP.NV.7.04,217.5,7509,0,0,0,0,0,0,0,0,7,0,29,10,46,2078304.5,0.152173913,0,0.6304347826,0.2173913043
SP.NV.7.03,222.5,7744,2,1,6,1,2,1,13,5658.61087763611,12,0,36,3,51,1683356.4,0.2352941176,0,0.7058823529,0.05882352941
SP.NV.7.02,227.5,7986,0,0,0,0,0,0,0,0,11,0,19,3,33,1751038.1,0.3333333333,0,0.5757575758,0.09090909091
SP.NV.7.01,232.5,8237,0,0,0,0,0,0,0,0,17,0,25,6,48,9711210.7,0.3541666667,0,0.5208333333,0.125
